Sample ID,Run,Tributary,Bam,Coverage,Source
S080015BUT,Spring,Butte,/home/maccamp/shernook/bams/S080015BUT_51_S107_L004_R1_001.bam,1.37419,New
S080034BUT,Spring,Butte,/home/maccamp/shernook/bams/S080034BUT_51_S109_L004_R1_001.bam,0.517513,New
S080037BUT,Spring,Butte,/home/maccamp/shernook/bams/S080037BUT_51_S110_L004_R1_001.bam,0.568156,New
S080040BUT,Spring,Butte,/home/maccamp/shernook/bams/S080040BUT_51_S111_L004_R1_001.bam,1.1492,New
S080051BUT,Spring,Butte,/home/maccamp/shernook/bams/S080051BUT_51_S112_L004_R1_001.bam,2.63439,New
S020037DER,Spring,Deer,/home/maccamp/shernook/bams/S020037DER_54_S116_L004_R1_001.bam,0.533386,New
S020045DER,Spring,Deer,/home/maccamp/shernook/bams/S020045DER_54_S118_L004_R1_001.bam,0.618048,New
S020055DER,Spring,Deer,/home/maccamp/shernook/bams/S020055DER_55_S120_L004_R1_001.bam,0.559651,New
S020061DER,Spring,Deer,/home/maccamp/shernook/bams/S020061DER_55_S56_L004_R1_001.bam,0.508915,New
S050007DER,Spring,Deer,/home/maccamp/shernook/bams/S050007DER_55_S58_L004_R1_001.bam,1.41021,New
S050016DER,Spring,Deer,/home/maccamp/shernook/bams/S050016DER_t_S68_L004_R1_001.bam,2.73392,New
S050040DER,Spring,Deer,/home/maccamp/shernook/bams/S050040DER_56_S121_L004_R1_001.bam,0.574556,New
S050054DER,Spring,Deer,/home/maccamp/shernook/bams/S050054DER_56_S122_L004_R1_001.bam,1.34355,New
S020021MIL,Spring,Mill,/home/maccamp/shernook/bams/S020021MIL_43_S101_L004_R1_001.bam,0.542623,New
S020023MIL,Spring,Mill,/home/maccamp/shernook/bams/S020023MIL_43_S43_L004_R1_001.bam,0.744256,New
S020024MIL,Spring,Mill,/home/maccamp/shernook/bams/S020024MIL_43_S44_L004_R1_001.bam,0.508042,New
S020025MIL,Spring,Mill,/home/maccamp/shernook/bams/S020025MIL_43_S45_L004_R1_001.bam,0.803957,New
S020034MIL,Spring,Mill,/home/maccamp/shernook/bams/S020034MIL_43_S102_L004_R1_001.bam,0.749826,New
S020035MIL,Spring,Mill,/home/maccamp/shernook/bams/S020035MIL_43_S51_L004_R1_001.bam,0.862026,New
S020052MIL,Spring,Mill,/home/maccamp/shernook/bams/S020052MIL_43_S103_L004_R1_001.bam,0.595799,New
S020057MIL,Spring,Mill,/home/maccamp/shernook/bams/S020057MIL_43_S105_L004_R1_001.bam,0.661445,New
S040028MIL,Spring,Mill,/home/maccamp/shernook/bams/S040028MIL_43_S106_L004_R1_001.bam,1.11088,New
S040031MIL,Spring,Mill,/home/maccamp/shernook/bams/S040031MIL_43_S46_L004_R1_001.bam,1.55454,New
S040114MIL,Spring,Mill,/home/maccamp/shernook/bams/S040114MIL_43_S48_L004_R1_001.bam,1.69293,New
S040116MIL,Spring,Mill,/home/maccamp/shernook/bams/S040116MIL_43_S49_L004_R1_001.bam,2.40219,New
S040117MIL,Spring,Mill,/home/maccamp/shernook/bams/S040117MIL_43_S50_L004_R1_001.bam,0.527029,New
W011922USR,Winter,Upper Sac,/home/maccamp/shernook/bams/W011922USR_41_S69_L004_R1_001.bam,4.19241,New
W011924USR,Winter,Upper Sac,/home/maccamp/shernook/bams/W011924USR_41_S70_L004_R1_001.bam,7.18753,New
W011933USR,Winter,Upper Sac,/home/maccamp/shernook/bams/W011933USR_41_S71_L004_R1_001.bam,4.54292,New
W011934USR,Winter,Upper Sac,/home/maccamp/shernook/bams/W011934USR_41_S72_L004_R1_001.bam,2.93874,New
W011812USR,Winter,Upper Sac,/home/maccamp/shernook/bams/W011812USR_41_S73_L004_R1_001.bam,3.50872,New
W011815USR,Winter,Upper Sac,/home/maccamp/shernook/bams/W011815USR_41_S74_L004_R1_001.bam,3.24306,New
DPCh_plate1_A05_S5,Fall,Feather River Hatchery Fall,/home/maccamp/shernook/bams/DPCh_plate1_A05_S5.bam,1.12662,Existing
DPCh_plate1_A06_S6,Fall,Feather River Hatchery Fall,/home/maccamp/shernook/bams/DPCh_plate1_A06_S6.bam,0.611983,Existing
DPCh_plate1_A07_S7,Spring,Feather River Hatchery Spring,/home/maccamp/shernook/bams/DPCh_plate1_A07_S7.bam,1.34286,Existing
DPCh_plate1_A08_S8,Spring,Feather River Hatchery Spring,/home/maccamp/shernook/bams/DPCh_plate1_A08_S8.bam,1.46535,Existing
DPCh_plate1_B05_S17,Fall,Feather River Hatchery Fall,/home/maccamp/shernook/bams/DPCh_plate1_B05_S17.bam,1.44547,Existing
DPCh_plate1_B06_S18,Fall,Feather River Hatchery Fall,/home/maccamp/shernook/bams/DPCh_plate1_B06_S18.bam,1.25611,Existing
DPCh_plate1_B07_S19,Spring,Feather River Hatchery Spring,/home/maccamp/shernook/bams/DPCh_plate1_B07_S19.bam,1.5267,Existing
DPCh_plate1_B08_S20,Spring,Feather River Hatchery Spring,/home/maccamp/shernook/bams/DPCh_plate1_B08_S20.bam,1.38461,Existing
